year,month,terror_attacks,avg_reviews
2010,1,278,0.0
2010,2,411,0.0
2010,3,368,4.5
2010,4,358,5.0
2010,5,462,3.25
2010,6,376,4.25
2010,7,411,4.142857142857143
2010,8,409,4.285714285714286
2010,9,528,4.2
2010,10,373,4.666666666666667
2010,11,467,4.37037037037037
2010,12,385,3.892857142857143
2011,1,402,4.357142857142857
2011,2,376,3.8666666666666667
2011,3,447,4.010526315789473
2011,4,436,3.9397590361445785
2011,5,450,4.3106060606060606
2011,6,400,4.108527131782946
2011,7,388,4.023668639053255
2011,8,341,4.03
2011,9,342,4.296296296296297
2011,10,402,4.32764505119454
2011,11,661,4.360995850622406
2011,12,431,4.321052631578947
2012,1,728,4.319838056680162
2012,2,556,4.330909090909091
2012,3,655,4.351351351351352
2012,4,722,4.38855421686747
2012,5,843,4.400593471810089
2012,6,775,4.244897959183674
2012,7,740,4.217073170731707
2012,8,812,3.9302884615384617
2012,9,648,4.397222222222222
2012,10,777,4.365155131264917
2012,11,688,4.323076923076923
2012,12,578,4.2926829268292686
2013,1,837,4.329457364341085
2013,4,993,4.24330900243309
2013,2,694,4.235955056179775
2013,3,798,4.273458445040214
2013,5,1106,4.27710843373494
2013,6,857,4.243961352657005
2013,7,1169,4.217054263565892
2013,8,1037,3.9832089552238807
2013,9,955,4.377892030848329
2013,10,1163,4.239179954441913
2013,11,1214,4.22093023255814
2013,12,1213,4.1768707482993195
2014,1,1358,4.223048327137547
2014,2,1389,4.253968253968254
2014,5,1673,4.120267260579064
2014,3,1522,4.220779220779221
2014,4,1473,4.083526682134571
2014,6,1404,4.247139588100686
2014,7,1729,4.276173285198556
2014,8,1357,4.154362416107382
2014,9,1289,4.489151873767258
2014,10,1329,4.288354898336414
2014,11,1232,4.3107344632768365
2014,12,1148,4.213930348258707
2015,1,1534,4.337423312883436
2015,2,1295,4.213213213213213
2015,3,1183,4.22707423580786
2015,4,1277,4.285433070866142
2015,5,1316,4.26401179941003
2015,6,1168,4.210982658959537
2015,7,1263,4.187088274044796
2015,8,1290,4.199745547073792
2015,9,1107,4.3607907742998355
2015,10,1269,4.168769716088328
2015,11,1172,4.424547283702213
2015,12,1091,4.310984308131241
2016,1,1162,4.352201257861635
2016,2,1153,4.12590799031477
2016,3,1145,4.2674825174825175
2016,4,1120,4.157377049180328
2016,5,1353,4.164451827242525
2016,6,1156,4.101105845181674
2016,7,1114,4.253246753246753
2016,8,1162,4.2095400340715505
2016,9,1045,4.401151631477927
2016,10,1140,4.244299674267101
2016,11,1114,4.401847575057737
2016,12,923,4.199616122840691
2017,1,879,4.300995024875622
2017,2,879,4.1891891891891895
2017,3,961,4.147887323943662
2017,4,865,4.190127970749543
2017,5,1081,4.26431718061674
2017,6,1077,4.22075055187638
2017,7,994,4.2627906976744185
2017,8,968,4.222698072805139
2017,9,838,4.214470284237726
2017,10,805,4.265658747300216
2017,11,804,4.2594936708860756
2017,12,749,4.3047404063205414
